Date,BTCTrend
2016-10-19,2.43
2016-10-20,2.57
2016-10-21,2.71
2016-10-22,2.86
2016-10-23,3.00
2016-10-24,3.00
2016-10-25,3.00
2016-10-26,3.00
2016-10-27,3.00
2016-10-28,3.00
2016-10-29,3.00
2016-10-30,3.00
2016-10-31,3.00
2016-11-01,3.00
2016-11-02,3.00
2016-11-03,3.00
2016-11-04,3.00
2016-11-05,3.00
2016-11-06,3.00
2016-11-07,3.00
2016-11-08,3.00
2016-11-09,3.00
2016-11-10,3.00
2016-11-11,3.00
2016-11-12,3.00
2016-11-13,3.00
2016-11-14,3.00
2016-11-15,3.00
2016-11-16,3.00
2016-11-17,3.00
2016-11-18,3.00
2016-11-19,3.00
2016-11-20,3.00
2016-11-21,3.00
2016-11-22,3.00
2016-11-23,3.00
2016-11-24,3.00
2016-11-25,3.00
2016-11-26,3.00
2016-11-27,3.00
2016-11-28,3.00
2016-11-29,3.00
2016-11-30,3.00
2016-12-01,3.00
2016-12-02,3.00
2016-12-03,3.00
2016-12-04,3.00
2016-12-05,3.00
2016-12-06,3.00
2016-12-07,3.00
2016-12-08,3.00
2016-12-09,3.00
2016-12-10,3.00
2016-12-11,3.00
2016-12-12,3.14
2016-12-13,3.29
2016-12-14,3.43
2016-12-15,3.57
2016-12-16,3.71
2016-12-17,3.86
2016-12-18,4.00
2016-12-19,4.14
2016-12-20,4.29
2016-12-21,4.43
2016-12-22,4.57
2016-12-23,4.71
2016-12-24,4.86
2016-12-25,5.00
2016-12-26,5.29
2016-12-27,5.57
2016-12-28,5.86
2016-12-29,6.14
2016-12-30,6.43
2016-12-31,6.71
2017-01-01,7.00
2017-01-02,6.71
2017-01-03,6.43
2017-01-04,6.14
2017-01-05,5.86
2017-01-06,5.57
2017-01-07,5.29
2017-01-08,5.00
2017-01-09,4.86
2017-01-10,4.71
2017-01-11,4.57
2017-01-12,4.43
2017-01-13,4.29
2017-01-14,4.14
2017-01-15,4.00
2017-01-16,4.00
2017-01-17,4.00
2017-01-18,4.00
2017-01-19,4.00
2017-01-20,4.00
2017-01-21,4.00
2017-01-22,4.00
2017-01-23,4.00
2017-01-24,4.00
2017-01-25,4.00
2017-01-26,4.00
2017-01-27,4.00
2017-01-28,4.00
2017-01-29,4.00
2017-01-30,4.14
2017-01-31,4.29
2017-02-01,4.43
2017-02-02,4.57
2017-02-03,4.71
2017-02-04,4.86
2017-02-05,5.00
2017-02-06,4.86
2017-02-07,4.71
2017-02-08,4.57
2017-02-09,4.43
2017-02-10,4.29
2017-02-11,4.14
2017-02-12,4.00
2017-02-13,4.14
2017-02-14,4.29
2017-02-15,4.43
2017-02-16,4.57
2017-02-17,4.71
